datetime,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station
2013-03-01,7.125,10.75,11.70833333333333,22.58333333333333,429.1666666666667,63.875,1.391666666666667,1026.875,-18.74583333333333,0.0,3.254166666666666,Aotizhongxin
2013-03-02,30.75,42.08333333333334,36.625,66.66666666666667,824.9166666666666,29.75,0.6166666666666667,1026.85,-15.9375,0.0,1.479166666666667,Aotizhongxin
2013-03-03,76.91666666666667,120.5416666666667,61.29166666666666,81.0,1620.625,19.125,5.566666666666666,1014.608333333333,-12.31666666666667,0.0,1.658333333333333,Aotizhongxin
2013-03-04,22.70833333333333,44.58333333333334,22.85416666666667,46.1875,606.25,53.75,9.9625,1017.65,-11.68333333333333,0.0,2.404166666666666,Aotizhongxin
2013-03-05,148.875,183.7916666666667,93.875,132.8333333333333,2357.958333333333,68.45833333333333,6.291666666666667,1010.9,-7.524999999999999,0.0,1.129166666666667,Aotizhongxin
2013-03-06,223.25,265.1666666666667,116.2367,142.0593833333333,3085.083333333333,19.75,7.183333333333334,1007.483333333333,-4.216666666666667,0.0,1.483333333333333,Aotizhongxin
2013-03-07,263.375,316.0833333333333,97.54166666666667,147.75,3632.875,38.83333333333334,9.2875,1002.320833333333,-2.033333333333334,0.0,1.558333333333333,Aotizhongxin
2013-03-08,221.4583333333333,297.9583333333333,69.0604,120.0927875,2689.208333333333,79.33333333333333,9.612499999999999,999.475,-1.15,0.0,1.6375,Aotizhongxin
2013-03-09,62.04166666666666,227.6041666666667,33.33333333333334,45.0,1178.958333333333,73.91666666666667,6.983333333333333,1004.391666666667,-10.1625,0.0,3.391666666666667,Aotizhongxin
2013-03-10,34.29166666666666,68.91666666666667,22.91666666666667,49.66666666666666,708.3333333333334,82.66666666666667,5.2625,1020.491666666667,-12.85,0.0,2.441666666666667,Aotizhongxin
2013-03-11,123.7916666666667,178.2916666666667,86.875,90.66666666666667,1670.75,75.25,5.537500000000001,1013.6625,-6.620833333333334,0.0,1.566666666666667,Aotizhongxin
